checkpoint,success,is_json,has_expected_keys,time_s,reward,num_keys,format_valid,content_relevance,completeness,quality_score,delegated_agent
SFT,True,True,True,18.981621742248535,100.0,2,True,0.18181818181818182,1.0,0.73,
MAGRPO-E10,True,True,True,230.7430899143219,100.0,6,True,0.09090909090909091,1.0,0.7000000000000001,
MAGRPO-E15,True,True,True,237.35409903526306,100.0,6,True,0.09090909090909091,1.0,0.7000000000000001,
MAGRPO-E20,True,True,True,140.7764391899109,100.0,6,True,0.09090909090909091,1.0,0.7000000000000001,
